Month,insurance
2004-01,60
2004-02,60
2004-03,0
2004-04,0
2004-05,53
2004-06,53
2004-07,84
2004-08,100
2004-09,47
2004-10,48
2004-11,0
2004-12,45
2005-01,79
2005-02,41
2005-03,35
2005-04,40
2005-05,0
2005-06,37
2005-07,36
2005-08,0
2005-09,32
2005-10,44
2005-11,0
2005-12,29
2006-01,26
2006-02,0
2006-03,70
2006-04,50
2006-05,24
2006-06,37
2006-07,24
2006-08,22
2006-09,22
2006-10,30
2006-11,0
2006-12,20
2007-01,18
2007-02,58
2007-03,17
2007-04,95
2007-05,31
2007-06,17
2007-07,16
2007-08,45
2007-09,30
2007-10,27
2007-11,14
2007-12,21
2008-01,12
2008-02,51
2008-03,25
2008-04,31
2008-05,25
2008-06,46
2008-07,19
2008-08,31
2008-09,35
2008-10,21
2008-11,12
2008-12,23
2009-01,32
2009-02,11
2009-03,0
2009-04,16
2009-05,31
2009-06,11
2009-07,16
2009-08,21
2009-09,15
2009-10,14
2009-11,29
2009-12,29
2010-01,22
2010-02,19
2010-03,25
2010-04,27
2010-05,9
2010-06,14
2010-07,24
2010-08,27
2010-09,23
2010-10,14
2010-11,18
2010-12,29
2011-01,23
2011-02,21
2011-03,14
2011-04,20
2011-05,22
2011-06,23
2011-07,22
