Month,Auto Insurance: (United States)
2004-01,70
2004-02,89
2004-03,45
2004-04,80
2004-05,77
2004-06,97
2004-07,100
2004-08,68
2004-09,71
2004-10,70
2004-11,63
2004-12,87
2005-01,62
2005-02,85
2005-03,57
2005-04,81
2005-05,94
2005-06,65
2005-07,100
2005-08,79
2005-09,63
2005-10,68
2005-11,50
2005-12,63
2006-01,63
2006-02,57
2006-03,77
2006-04,72
2006-05,67
2006-06,61
2006-07,67
2006-08,40
2006-09,58
2006-10,66
2006-11,60
2006-12,53
2007-01,65
2007-02,54
2007-03,65
2007-04,58
2007-05,68
2007-06,63
2007-07,68
2007-08,60
2007-09,54
2007-10,60
2007-11,54
2007-12,51
2008-01,61
2008-02,64
2008-03,67
2008-04,57
2008-05,70
2008-06,68
2008-07,66
2008-08,53
2008-09,49
2008-10,48
2008-11,44
2008-12,53
2009-01,53
2009-02,66
2009-03,72
2009-04,62
2009-05,60
2009-06,69
2009-07,76
2009-08,72
2009-09,59
2009-10,64
2009-11,58
2009-12,64
2010-01,61
2010-02,70
2010-03,70
2010-04,61
2010-05,72
2010-06,73
2010-07,63
2010-08,65
2010-09,61
2010-10,58
2010-11,55
2010-12,51
2011-01,76
2011-02,72
2011-03,79
2011-04,72
2011-05,69
2011-06,70
2011-07,78
