Month,Auto Insurance: (United States)
2004-01,94
2004-02,93
2004-03,86
2004-04,86
2004-05,88
2004-06,100
2004-07,95
2004-08,93
2004-09,81
2004-10,72
2004-11,66
2004-12,67
2005-01,74
2005-02,71
2005-03,73
2005-04,71
2005-05,76
2005-06,78
2005-07,80
2005-08,85
2005-09,67
2005-10,58
2005-11,57
2005-12,61
2006-01,70
2006-02,62
2006-03,61
2006-04,65
2006-05,64
2006-06,70
2006-07,76
2006-08,74
2006-09,63
2006-10,63
2006-11,55
2006-12,57
2007-01,68
2007-02,63
2007-03,61
2007-04,59
2007-05,64
2007-06,67
2007-07,71
2007-08,69
2007-09,60
2007-10,60
2007-11,51
2007-12,51
2008-01,61
2008-02,61
2008-03,56
2008-04,56
2008-05,56
2008-06,56
2008-07,58
2008-08,58
2008-09,56
2008-10,53
2008-11,55
2008-12,57
2009-01,64
2009-02,64
2009-03,60
2009-04,56
2009-05,58
2009-06,62
2009-07,62
2009-08,60
2009-09,53
2009-10,52
2009-11,47
2009-12,48
2010-01,53
2010-02,54
2010-03,52
2010-04,50
2010-05,49
2010-06,54
2010-07,49
2010-08,50
2010-09,45
2010-10,42
2010-11,42
2010-12,41
2011-01,58
2011-02,59
2011-03,56
2011-04,51
2011-05,52
2011-06,61
2011-07,65
