Month,buy car: (United States)
2004-01,82
2004-02,82
2004-03,84
2004-04,79
2004-05,92
2004-06,84
2004-07,90
2004-08,83
2004-09,80
2004-10,73
2004-11,77
2004-12,81
2005-01,71
2005-02,68
2005-03,71
2005-04,71
2005-05,74
2005-06,81
2005-07,91
2005-08,83
2005-09,72
2005-10,61
2005-11,64
2005-12,74
2006-01,64
2006-02,64
2006-03,63
2006-04,74
2006-05,69
2006-06,71
2006-07,78
2006-08,76
2006-09,64
2006-10,60
2006-11,65
2006-12,71
2007-01,61
2007-02,68
2007-03,68
2007-04,67
2007-05,75
2007-06,74
2007-07,80
2007-08,74
2007-09,68
2007-10,65
2007-11,72
2007-12,78
2008-01,72
2008-02,67
2008-03,72
2008-04,73
2008-05,81
2008-06,85
2008-07,81
2008-08,77
2008-09,69
2008-10,63
2008-11,81
2008-12,100
2009-01,90
2009-02,81
2009-03,82
2009-04,85
2009-05,87
2009-06,91
2009-07,97
2009-08,95
2009-09,76
2009-10,74
2009-11,77
2009-12,89
2010-01,79
2010-02,85
2010-03,82
2010-04,78
2010-05,83
2010-06,85
2010-07,87
2010-08,82
2010-09,78
2010-10,74
2010-11,77
2010-12,84
2011-01,94
2011-02,100
2011-03,91
2011-04,87
2011-05,91
2011-06,93
2011-07,99
