Month,car: (United States)
2004-01,87
2004-02,85
2004-03,92
2004-04,93
2004-05,100
2004-06,99
2004-07,100
2004-08,95
2004-09,84
2004-10,84
2004-11,82
2004-12,85
2005-01,84
2005-02,84
2005-03,86
2005-04,85
2005-05,89
2005-06,94
2005-07,95
2005-08,90
2005-09,81
2005-10,77
2005-11,75
2005-12,78
2006-01,79
2006-02,77
2006-03,79
2006-04,83
2006-05,85
2006-06,86
2006-07,91
2006-08,86
2006-09,77
2006-10,73
2006-11,74
2006-12,77
2007-01,77
2007-02,77
2007-03,78
2007-04,80
2007-05,85
2007-06,89
2007-07,89
2007-08,87
2007-09,76
2007-10,74
2007-11,74
2007-12,74
2008-01,77
2008-02,77
2008-03,81
2008-04,82
2008-05,88
2008-06,91
2008-07,87
2008-08,79
2008-09,71
2008-10,68
2008-11,68
2008-12,72
2009-01,74
2009-02,73
2009-03,76
2009-04,77
2009-05,78
2009-06,82
2009-07,86
2009-08,83
2009-09,71
2009-10,68
2009-11,67
2009-12,71
2010-01,69
2010-02,70
2010-03,74
2010-04,72
2010-05,75
2010-06,78
2010-07,76
2010-08,75
2010-09,69
2010-10,65
2010-11,64
2010-12,67
2011-01,76
2011-02,79
2011-03,78
2011-04,78
2011-05,81
2011-06,87
2011-07,85
