Month,Automotive Insurance: (United States)
2004-01,100
2004-02,26
2004-03,34
2004-04,86
2004-05,63
2004-06,64
2004-07,33
2004-08,37
2004-09,49
2004-10,36
2004-11,30
2004-12,53
2005-01,64
2005-02,50
2005-03,48
2005-04,84
2005-05,63
2005-06,28
2005-07,38
2005-08,62
2005-09,48
2005-10,31
2005-11,36
2005-12,61
2006-01,31
2006-02,40
2006-03,28
2006-04,45
2006-05,35
2006-06,44
2006-07,18
2006-08,26
2006-09,33
2006-10,33
2006-11,45
2006-12,21
2007-01,35
2007-02,34
2007-03,38
2007-04,38
2007-05,35
2007-06,15
2007-07,47
2007-08,22
2007-09,25
2007-10,40
2007-11,46
2007-12,25
2008-01,44
2008-02,27
2008-03,39
2008-04,44
2008-05,46
2008-06,39
2008-07,42
2008-08,53
2008-09,22
2008-10,36
2008-11,24
2008-12,35
2009-01,34
2009-02,20
2009-03,21
2009-04,28
2009-05,22
2009-06,27
2009-07,23
2009-08,37
2009-09,27
2009-10,34
2009-11,30
2009-12,34
2010-01,28
2010-02,26
2010-03,29
2010-04,30
2010-05,27
2010-06,39
2010-07,29
2010-08,32
2010-09,27
2010-10,36
2010-11,28
2010-12,35
2011-01,23
2011-02,28
2011-03,29
2011-04,22
2011-05,34
2011-06,29
2011-07,28
