Month,SUVs: (United States)
2004-01,64
2004-02,59
2004-03,67
2004-04,57
2004-05,67
2004-06,72
2004-07,55
2004-08,63
2004-09,57
2004-10,48
2004-11,58
2004-12,61
2005-01,56
2005-02,75
2005-03,62
2005-04,62
2005-05,53
2005-06,56
2005-07,63
2005-08,63
2005-09,51
2005-10,58
2005-11,53
2005-12,49
2006-01,57
2006-02,59
2006-03,54
2006-04,60
2006-05,52
2006-06,55
2006-07,65
2006-08,57
2006-09,57
2006-10,62
2006-11,64
2006-12,53
2007-01,68
2007-02,79
2007-03,72
2007-04,69
2007-05,87
2007-06,68
2007-07,71
2007-08,70
2007-09,73
2007-10,69
2007-11,73
2007-12,66
2008-01,71
2008-02,70
2008-03,78
2008-04,77
2008-05,80
2008-06,68
2008-07,65
2008-08,56
2008-09,58
2008-10,52
2008-11,45
2008-12,47
2009-01,63
2009-02,61
2009-03,69
2009-04,64
2009-05,69
2009-06,80
2009-07,86
2009-08,91
2009-09,68
2009-10,73
2009-11,67
2009-12,73
2010-01,100
2010-02,95
2010-03,92
2010-04,88
2010-05,84
2010-06,79
2010-07,78
2010-08,74
2010-09,60
2010-10,60
2010-11,60
2010-12,64
2011-01,89
2011-02,88
2011-03,75
2011-04,71
2011-05,64
2011-06,70
2011-07,75
