Month,trucks: (United States)
2004-01,100
2004-02,92
2004-03,96
2004-04,96
2004-05,93
2004-06,86
2004-07,91
2004-08,84
2004-09,95
2004-10,84
2004-11,91
2004-12,86
2005-01,98
2005-02,99
2005-03,96
2005-04,86
2005-05,84
2005-06,85
2005-07,89
2005-08,86
2005-09,80
2005-10,78
2005-11,80
2005-12,77
2006-01,85
2006-02,88
2006-03,87
2006-04,80
2006-05,81
2006-06,74
2006-07,76
2006-08,77
2006-09,77
2006-10,79
2006-11,80
2006-12,80
2007-01,88
2007-02,92
2007-03,85
2007-04,84
2007-05,78
2007-06,78
2007-07,81
2007-08,80
2007-09,81
2007-10,80
2007-11,77
2007-12,76
2008-01,82
2008-02,81
2008-03,78
2008-04,71
2008-05,67
2008-06,61
2008-07,60
2008-08,62
2008-09,62
2008-10,63
2008-11,70
2008-12,74
2009-01,75
2009-02,76
2009-03,75
2009-04,73
2009-05,72
2009-06,73
2009-07,76
2009-08,79
2009-09,74
2009-10,76
2009-11,74
2009-12,78
2010-01,83
2010-02,87
2010-03,85
2010-04,78
2010-05,76
2010-06,70
2010-07,67
2010-08,70
2010-09,67
2010-10,64
2010-11,65
2010-12,67
2011-01,81
2011-02,81
2011-03,74
2011-04,71
2011-05,66
2011-06,69
2011-07,73
