Month,trucks SUVs: (United States)
2004-01,43
2004-02,56
2004-03,0
2004-04,81
2004-05,37
2004-06,77
2004-07,53
2004-08,36
2004-09,67
2004-10,34
2004-11,36
2004-12,64
2005-01,74
2005-02,89
2005-03,100
2005-04,38
2005-05,59
2005-06,61
2005-07,78
2005-08,57
2005-09,38
2005-10,77
2005-11,50
2005-12,31
2006-01,36
2006-02,44
2006-03,22
2006-04,35
2006-05,39
2006-06,44
2006-07,46
2006-08,31
2006-09,42
2006-10,29
2006-11,47
2006-12,24
2007-01,34
2007-02,36
2007-03,28
2007-04,53
2007-05,44
2007-06,48
2007-07,30
2007-08,42
2007-09,50
2007-10,25
2007-11,51
2007-12,40
2008-01,41
2008-02,36
2008-03,29
2008-04,49
2008-05,38
2008-06,43
2008-07,23
2008-08,9
2008-09,49
2008-10,25
2008-11,19
2008-12,27
2009-01,28
2009-02,40
2009-03,31
2009-04,44
2009-05,42
2009-06,40
2009-07,22
2009-08,37
2009-09,39
2009-10,33
2009-11,37
2009-12,38
2010-01,51
2010-02,55
2010-03,42
2010-04,29
2010-05,35
2010-06,18
2010-07,32
2010-08,49
2010-09,28
2010-10,31
2010-11,22
2010-12,44
2011-01,57
2011-02,41
2011-03,37
2011-04,32
2011-05,20
2011-06,36
2011-07,22
